Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR11392158_2										2.5516352882297824	0.16233891365522848	0.671067154026737	0.2196914882318529	0.060838925468862035	0.03494211432338376	0.3593447896854301
SRR11392159_1										6.622891043837603	0.194007858541609	0.7561282220584051	0.36842325640591844	0.2425916316584642	0.009360828298420262	0.9458398535374269
SRR11392159_2										6.3851658551478785	0.21161629345204425	0.7293223903418302	0.3712762365060547	0.29250696661048015	0.01572043342990551	0.8144953055348292
SRR11392160_1										12.155272802799926	0.18482309307939465	0.7428390231115394	0.5336203147204666	0.61010829976823	0.01367526138746276	1.004128893140233
SRR11392160_2										11.391591460598583	0.20411631854997006	0.7659919431895924	0.5053148146274604	0.60349287815126	0.020668538816430316	0.866546446786475
SRR11392161_1										3.2951767239889977	0.15960631218007826	0.4386944633421247	0.16064437081579724	0.06320028258412588	0.003442973848078644	0.37848941196346364
SRR11392161_2										3.1038796845277754	0.15246551872880515	0.45049807166877476	0.18100096458512416	0.07537486203842207	0.018980610736256454	0.3129064807542655
SRR11392162_1										2.0459932009063286	0.19045402310302179	0.6292207776053498	0.4362124106895966	0.3167218142283108	0.005707864767902675	0.22011464458264549
SRR11392162_2										1.937246057734361	0.15591742802752073	0.6402641931558287	0.40496994063215186	0.32659700988918294	0.010046469684956462	0.1708485179787228
SRR11392163_1										2.341967637419786	0.17845837683946572	0.5814265190694083	0.2867268742885614	0.12809362523920806	0.00475817777539061	0.21423038732011637
SRR11392163_2										2.2025983321529297	0.1631460926291209	0.5621453151300908	0.28325521771999523	0.10488730275483062	0.009656988877977571	0.18478858182861532
SRR11392164_1										8.448307785149828	0.18654891791382835	0.6803990104207254	0.3326777766542027	0.26329201509724975	0.030975163316746518	0.9844513706365852
SRR11392164_2										7.977486725114312	0.18356075075859568	0.6582684107734511	0.32501535619718547	0.27891134382081034	0.01696846875565324	0.9109787238773753
SRR11392165_1										2.8373880710060804	0.1575671409559021	0.6266100371828158	0.2619288155695554	0.10790923828398816	0.013096731926442395	0.3997200072746494
SRR11392165_2										2.6653582694223235	0.15039860218478185	0.6095433768396328	0.25674303224649075	0.10741707200281853	0.03859246623610573	0.3511580039520285
SRR11392166_1										5.343586083483749	0.1852271791663484	0.7229070141385431	0.3431010801764355	0.29853283049097173	0.01830896648031992	0.4946359436734966
SRR11392166_2										5.280536544777403	0.17633563184442175	0.6896774200358722	0.3449934124243911	0.28523046863944923	0.029955785920854197	0.4467254932281216
SRR11392167_1										5.541989913765406	0.15858503355193304	0.6704426588863938	0.397888019189281	0.3022475685112705	0.004225634256579865	0.6110054890365892
SRR11392167_2										5.285869028069747	0.17484938055109678	0.6738347317770189	0.351630960282133	0.3341876434266814	0.010963584740224694	0.5044479210613412
SRR11392168_1										4.682927340795839	0.18692338740318512	0.6592064510880241	0.4655204458657386	0.47305800987885127	0.0034230946590340944	0.30767400591091293
SRR11392168_2										4.423163508941933	0.1729342587041593	0.6710425149633372	0.4647653106553017	0.44827595553734834	0.016811564425738935	0.25292105958642846
SRR11392169_1										3.7605042102764212	0.18632241651456588	0.6770620980631532	0.4077052188762865	0.3579198783268433	0.0	0.3544370189007526
SRR11392169_2										3.453710084251613	0.16513116758618693	0.7008534813655689	0.4063465977362642	0.30966148366594476	0.028182122855253802	0.2859384933044681
SRR11392170_1										4.042649853947553	0.15385791064005017	0.4547473172283656	0.14345674553775795	0.02604193211034775	0.02423088455168567	0.20873159406166403
SRR11392170_2										3.6558166563213224	0.16709218702345746	0.42566523837185705	0.13008995169796958	0.05156542182738909	0.009421624135443559	0.21078101192832432
SRR11392171_1										7.570528207645003	0.15248641311782904	0.6873196905208777	0.4111270774917195	0.38526536914248266	0.0	0.7290122893626233
SRR11392171_2										7.266083204229848	0.14758974231320804	0.6872196244783327	0.37172030102525694	0.3937282966365104	0.012130182213438553	0.6272226336665101
SRR11392172_1										1.2036796324293335	0.13572495167664206	0.47809778608062364	0.10163849911910576	0.008738640498314762	0.0	0.1511007943247497
SRR11392172_2										1.030808600771225	0.15211359173200098	0.4677584585630017	0.08968204533969885	0.013690392119827696	0.0	0.13529937279660895
SRR11392173_1										3.1119637285425563	0.1848359779898095	0.7612842861913249	0.4370533052285126	0.22242282835950028	0.010074767403971325	0.35119794892344913
SRR11392173_2										2.9458914386583057	0.17777424681402576	0.7498239322772073	0.4040917059557676	0.2073860079913689	0.020764193848730524	0.3078272476733358
SRR11392174_1										2.971036208374786	0.14998767946983524	0.5211266372893912	0.16521256077755453	0.051594318443124405	0.004266866798703054	0.47857165238166455
SRR11392174_2										2.7331456119657562	0.1541991562169719	0.5367992424116454	0.1767047797327563	0.06337562276566536	0.03195020954108855	0.3933343127946471
SRR11392175_1										7.300796763518308	0.13800198204081626	0.7372657338425926	0.4833321797804006	0.5461379780240262	0.003993183904120392	0.6942504470075215
SRR11392175_2										6.659122081188812	0.14609804525493997	0.7333596708023415	0.46402072591545895	0.49457643064478696	0.020872086358241632	0.6459406291840523
SRR11392177_1										7.227454376293404	0.15270686055939842	0.5536001913126347	0.3451050355992377	0.47921524377337665	0.006237010931343223	0.3247399821210835
SRR11392177_2										6.749555823870081	0.1709029340947512	0.5703816603650758	0.3549283511485701	0.4482286453650779	0.0212041036735	0.3091393658762067
SRR11392178_1										11.697683039647428	0.25954670835474203	0.9457207754197946	0.4521061804072511	0.2880604726654895	0.059399032404497114	3.707699775401082
SRR11392178_2										11.058243191620722	0.3658743260571185	1.0539246080852058	0.41153397071147524	0.3674233610782748	0.10515382112357109	3.32139151423611
SRR11392179_1										2.027512045943511	0.1660893938408029	0.6612390308846048	0.2355587930835611	0.12097950495054118	0.0	0.23859861283802083
SRR11392179_2										1.934673114585379	0.1508774029859252	0.6537156262993853	0.26065885780771986	0.1256247042884644	0.011833805290671304	0.19668965622926202
SRR11392180_1										1.5437023489637138	0.19317722274443927	0.7169212886731002	0.2543575621319049	0.0516819612698323	0.007185944610803604	0.327637246025226
SRR11392180_2										1.509191081801861	0.19313023684863528	0.6946961547857942	0.2287328408607821	0.06834666289060337	0.010597073771555771	0.28419959908992604
SRR11392181_1										0.5403271464966513	0.2003181604904728	0.45649772227580737	0.02797250072788794	0.0021256215075942677	0.007283374851492112	0.22852899718977487
SRR11392181_2										0.4941435416779538	0.2034544817822899	0.42998277830613596	0.03310364913606658	0.024492223828346156	0.0	0.1854599062716379
SRR11392182_1										4.722045441767468	0.1879282377347839	0.6182264430154966	0.3911493350532585	0.4765774934026437	0.002953588182960345	0.38904666479523536
SRR11392182_2										4.241597068616949	0.192999798397301	0.5792302081482662	0.3737670027732806	0.46473792701697736	0.021373779320801204	0.3475232235269205
