Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR11352526_2	SRR11352526_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99183527.0	14.7 Gbp	0.0	36-151	53.0	60.88690187353747	148.4438455188229	151	pass	pass	pass	pass	pass	pass	warn	warn	warn	pass
SRR11352527_1	SRR11352527_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80144701.0	11.8 Gbp	0.0	36-151	51.0	50.791209617852715	147.5142516908261	151	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR11352527_2	SRR11352527_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80144701.0	11.8 Gbp	0.0	36-151	51.0	52.15092210381298	148.34832868114387	151	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
SRR11352528_1	SRR11352528_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93609202.0	13.8 Gbp	0.0	36-151	53.0	46.45511950044271	148.18541285075798	151	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
SRR11352528_2	SRR11352528_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93609202.0	13.8 Gbp	0.0	36-151	53.0	49.63600418919045	147.85905858913316	151	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
SRR11352529_1	SRR11352529_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69613847.0	10.2 Gbp	0.0	36-151	51.0	31.55943369364645	147.95777378888428	151	pass	pass	pass	pass	warn	pass	warn	fail	fail	pass
SRR11352529_2	SRR11352529_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69613847.0	10.3 Gbp	0.0	36-151	51.0	33.15555283517384	148.31749651761092	151	pass	pass	pass	pass	fail	pass	warn	fail	fail	pass
SRR11352530_1	SRR11352530_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72232115.0	10.6 Gbp	0.0	36-151	49.0	35.51775036563225	147.76296607125514	151	pass	pass	pass	pass	warn	pass	warn	fail	fail	pass
SRR11352530_2	SRR11352530_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72232115.0	10.6 Gbp	0.0	36-151	50.0	37.219414114265085	148.16387221944146	151	pass	pass	pass	pass	fail	pass	warn	fail	fail	pass
SRR11352531_1	SRR11352531_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89691263.0	13.2 Gbp	0.0	36-151	53.0	56.992860693464884	148.32652016506893	151	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR11352531_2	SRR11352531_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89691263.0	13.3 Gbp	0.0	36-151	53.0	58.26920170127804	148.3720021759533	151	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR11352532_1	SRR11352532_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99554962.0	14.7 Gbp	0.0	36-151	53.0	46.772256120958794	148.09462803069525	151	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
SRR11352532_2	SRR11352532_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99554962.0	14.7 Gbp	0.0	36-151	53.0	48.25824922280905	148.17334723105012	151	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
